sub,block,event,acc,time,task,race
1,0,BF,1,7840,NAME,black
1,0,BF,1,7704,NAME,black
1,0,BF,1,6922,NAME,black
1,0,BF,1,6216,NAME,black
1,0,BF,1,5822,NAME,black
1,0,BF,1,7082,NAME,black
1,0,BF,1,6740,NAME,black
1,0,BF,1,6452,NAME,black
1,0,BF,1,8899,NAME,black
1,0,BF,1,7114,NAME,black
1,0,BF,1,11038,NAME,black
1,0,BF,1,9344,NAME,black
1,0,BF,1,6857,NAME,black
1,0,BF,1,10037,NAME,black
1,0,BF,1,8169,NAME,black
1,0,BF,1,7729,NAME,black
1,0,BF,1,6899,NAME,black
1,0,BF,1,8010,NAME,black
1,0,BF,1,9342,NAME,black
1,0,BF,1,7540,NAME,black
1,0,BM,1,8836,NAME,black
1,0,BM,1,5849,NAME,black
1,0,BM,1,6308,NAME,black
1,0,BM,1,7135,NAME,black
1,0,BM,1,6711,NAME,black
1,0,BM,1,6620,NAME,black
1,0,BM,1,6434,NAME,black
1,0,BM,1,6637,NAME,black
1,0,BM,1,6750,NAME,black
1,0,BM,1,7087,NAME,black
1,0,BM,1,6465,NAME,black
1,0,BM,1,9037,NAME,black
1,0,BM,1,7003,NAME,black
1,0,BM,1,8376,NAME,black
1,0,BM,1,7379,NAME,black
1,0,BM,1,6497,NAME,black
1,0,BM,1,6411,NAME,black
1,0,BM,1,6286,NAME,black
1,0,BM,1,8051,NAME,black
1,0,WF,1,6874,NAME,white
1,0,WF,1,5968,NAME,white
1,0,WF,1,6251,NAME,white
1,0,WF,1,6299,NAME,white
1,0,WF,1,9112,NAME,white
1,0,WF,1,5746,NAME,white
1,0,WF,1,6444,NAME,white
1,0,WF,1,6714,NAME,white
1,0,WF,1,7396,NAME,white
1,0,WF,1,5626,NAME,white
1,0,WF,1,5447,NAME,white
1,0,WF,1,5316,NAME,white
1,0,WF,1,6824,NAME,white
1,0,WF,1,7406,NAME,white
1,0,WF,1,7017,NAME,white
1,0,WF,1,7633,NAME,white
1,0,WF,1,7026,NAME,white
1,0,WF,1,7430,NAME,white
1,0,WF,1,6466,NAME,white
1,0,WM,1,7606,NAME,white
1,0,WM,1,5686,NAME,white
1,0,WM,1,6266,NAME,white
1,0,WM,1,6003,NAME,white
1,0,WM,1,6667,NAME,white
1,0,WM,1,7122,NAME,white
1,0,WM,1,5932,NAME,white
1,0,WM,1,6997,NAME,white
1,0,WM,1,6456,NAME,white
1,0,WM,1,5995,NAME,white
1,0,WM,1,9911,NAME,white
1,0,WM,1,8985,NAME,white
1,0,WM,1,7092,NAME,white
1,0,WM,1,6797,NAME,white
1,0,WM,1,6919,NAME,white
1,0,WM,1,6839,NAME,white
1,0,WM,1,6982,NAME,white
1,0,WM,1,6877,NAME,white
1,0,WM,1,6701,NAME,white
1,0,WM,1,6139,NAME,white
1,0,WM,1,6534,NAME,white
1,0,WM,1,7033,NAME,white
1,0,BAD,1,11724,WORD,
1,0,BAD,1,7986,WORD,
1,0,BAD,1,9345,WORD,
1,0,BAD,1,5938,WORD,
1,0,BAD,1,5935,WORD,
1,0,BAD,1,6961,WORD,
1,0,BAD,1,7585,WORD,
1,0,BAD,1,7619,WORD,
1,0,BAD,1,6115,WORD,
1,0,BAD,1,7026,WORD,
1,0,BAD,1,6726,WORD,
1,0,BAD,1,9913,WORD,
1,0,BAD,1,7310,WORD,
1,0,BAD,1,11955,WORD,
1,0,BAD,1,6239,WORD,
1,0,BAD,1,7932,WORD,
1,0,BAD,1,9110,WORD,
1,0,BAD,1,6074,WORD,
1,0,BAD,1,7520,WORD,
1,0,BAD,1,6779,WORD,
1,0,GOOD,1,7346,WORD,
1,0,GOOD,1,6426,WORD,
1,0,GOOD,1,7557,WORD,
1,0,GOOD,1,5606,WORD,
1,0,GOOD,1,5977,WORD,
1,0,GOOD,1,6812,WORD,
1,0,GOOD,1,7159,WORD,
1,0,GOOD,1,6635,WORD,
1,0,GOOD,1,6956,WORD,
1,0,GOOD,1,7989,WORD,
1,0,GOOD,1,13791,WORD,
1,0,GOOD,1,5906,WORD,
1,0,GOOD,1,7222,WORD,
1,0,GOOD,1,8189,WORD,
1,0,GOOD,1,6780,WORD,
1,0,GOOD,1,6582,WORD,
1,0,GOOD,1,10888,WORD,
1,0,GOOD,1,6047,WORD,
