sub	cell	channel	voltage	incongruency	coronal	sagittal	SC_RT	MC_RT	old_IAT	IAT_2003
5	congruent	F3	-2.6111315	0	0	0	110.8312	152.2565	0.189147433	0.7373759
5	incongruent	F3	-0.0967745	1	0	0	110.8312	152.2565	0.189147433	0.7373759
5	congruent	FZ	-1.822814	0	0	1	110.8312	152.2565	0.189147433	0.7373759
5	incongruent	FZ	0.3036495	1	0	1	110.8312	152.2565	0.189147433	0.7373759
5	congruent	F4	-0.556153	0	0	2	110.8312	152.2565	0.189147433	0.7373759
5	incongruent	F4	1.5300645	1	0	2	110.8312	152.2565	0.189147433	0.7373759
5	congruent	FC3	-0.4439975	0	1	0	110.8312	152.2565	0.189147433	0.7373759
5	incongruent	FC3	0.686212	1	1	0	110.8312	152.2565	0.189147433	0.7373759
5	congruent	FCZ	0.6247635	0	1	1	110.8312	152.2565	0.189147433	0.7373759
5	incongruent	FCZ	2.017658	1	1	1	110.8312	152.2565	0.189147433	0.7373759
5	congruent	FC4	2.7135775	0	1	2	110.8312	152.2565	0.189147433	0.7373759
5	incongruent	FC4	2.1916995	1	1	2	110.8312	152.2565	0.189147433	0.7373759
5	congruent	C3	4.6411155	0	2	0	110.8312	152.2565	0.189147433	0.7373759
5	incongruent	C3	2.9243275	1	2	0	110.8312	152.2565	0.189147433	0.7373759
5	congruent	CZ	8.7157385	0	2	1	110.8312	152.2565	0.189147433	0.7373759
5	incongruent	CZ	4.692089	1	2	1	110.8312	152.2565	0.189147433	0.7373759
5	congruent	C4	6.2664235	0	2	2	110.8312	152.2565	0.189147433	0.7373759
5	incongruent	C4	3.726614	1	2	2	110.8312	152.2565	0.189147433	0.7373759
5	congruent	CP3	8.7780995	0	3	0	110.8312	152.2565	0.189147433	0.7373759
5	incongruent	CP3	5.1203895	1	3	0	110.8312	152.2565	0.189147433	0.7373759
5	congruent	CPZ	14.2020945	0	3	1	110.8312	152.2565	0.189147433	0.7373759
5	incongruent	CPZ	8.508448	1	3	1	110.8312	152.2565	0.189147433	0.7373759
5	congruent	CP4	11.327554	0	3	2	110.8312	152.2565	0.189147433	0.7373759
5	incongruent	CP4	7.2264785	1	3	2	110.8312	152.2565	0.189147433	0.7373759
5	congruent	P3	12.599518	0	4	0	110.8312	152.2565	0.189147433	0.7373759
5	incongruent	P3	7.5057075	1	4	0	110.8312	152.2565	0.189147433	0.7373759
5	congruent	PZ	14.310248	0	4	1	110.8312	152.2565	0.189147433	0.7373759
5	incongruent	PZ	8.599555	1	4	1	110.8312	152.2565	0.189147433	0.7373759
5	congruent	P4	15.575468	0	4	2	110.8312	152.2565	0.189147433	0.7373759
5	incongruent	P4	10.7882805	1	4	2	110.8312	152.2565	0.189147433	0.7373759
6	congruent	F3	-6.526649	0	0	0	58.16555	33.64045	0.02704164	0.1207557
6	incongruent	F3	-2.9562035	1	0	0	58.16555	33.64045	0.02704164	0.1207557
6	congruent	FZ	-8.6128395	0	0	1	58.16555	33.64045	0.02704164	0.1207557
6	incongruent	FZ	-5.5933035	1	0	1	58.16555	33.64045	0.02704164	0.1207557
6	congruent	F4	-7.3928015	0	0	2	58.16555	33.64045	0.02704164	0.1207557
6	incongruent	F4	-4.8633665	1	0	2	58.16555	33.64045	0.02704164	0.1207557
6	congruent	FC3	-2.779879	0	1	0	58.16555	33.64045	0.02704164	0.1207557
6	incongruent	FC3	-0.959735	1	1	0	58.16555	33.64045	0.02704164	0.1207557
6	congruent	FCZ	-5.9965525	0	1	1	58.16555	33.64045	0.02704164	0.1207557
6	incongruent	FCZ	-5.0309075	1	1	1	58.16555	33.64045	0.02704164	0.1207557
6	congruent	FC4	-1.820056	0	1	2	58.16555	33.64045	0.02704164	0.1207557
6	incongruent	FC4	-1.4800475	1	1	2	58.16555	33.64045	0.02704164	0.1207557
6	congruent	C3	4.1693105	0	2	0	58.16555	33.64045	0.02704164	0.1207557
6	incongruent	C3	2.58464	1	2	0	58.16555	33.64045	0.02704164	0.1207557
