sub	cell	channel	voltage	switch	coronal	sagittal	SC_RT	MC_RT	old_IAT	IAT_2003
5	No-switch	F3	-1.2269965	0	0	0	110.8312	152.2565	0.189147433	0.7373759
5	switch	F3	-1.4809095	1	0	0	110.8312	152.2565	0.189147433	0.7373759
5	No-switch	FZ	-0.718394	0	0	1	110.8312	152.2565	0.189147433	0.7373759
5	switch	FZ	-0.8007705	1	0	1	110.8312	152.2565	0.189147433	0.7373759
5	No-switch	F4	0.113123	0	0	2	110.8312	152.2565	0.189147433	0.7373759
5	switch	F4	0.8607885	1	0	2	110.8312	152.2565	0.189147433	0.7373759
5	No-switch	FC3	-0.043254	0	1	0	110.8312	152.2565	0.189147433	0.7373759
5	switch	FC3	0.2854685	1	1	0	110.8312	152.2565	0.189147433	0.7373759
5	No-switch	FCZ	1.166238	0	1	1	110.8312	152.2565	0.189147433	0.7373759
5	switch	FCZ	1.4761835	1	1	1	110.8312	152.2565	0.189147433	0.7373759
5	No-switch	FC4	1.953407	0	1	2	110.8312	152.2565	0.189147433	0.7373759
5	switch	FC4	2.95187	1	1	2	110.8312	152.2565	0.189147433	0.7373759
5	No-switch	C3	3.328761	0	2	0	110.8312	152.2565	0.189147433	0.7373759
5	switch	C3	4.236682	1	2	0	110.8312	152.2565	0.189147433	0.7373759
5	No-switch	CZ	6.218678	0	2	1	110.8312	152.2565	0.189147433	0.7373759
5	switch	CZ	7.1891495	1	2	1	110.8312	152.2565	0.189147433	0.7373759
5	No-switch	C4	4.353923	0	2	2	110.8312	152.2565	0.189147433	0.7373759
5	switch	C4	5.6391145	1	2	2	110.8312	152.2565	0.189147433	0.7373759
5	No-switch	CP3	6.6840835	0	3	0	110.8312	152.2565	0.189147433	0.7373759
5	switch	CP3	7.2144055	1	3	0	110.8312	152.2565	0.189147433	0.7373759
5	No-switch	CPZ	11.081758	0	3	1	110.8312	152.2565	0.189147433	0.7373759
5	switch	CPZ	11.6287845	1	3	1	110.8312	152.2565	0.189147433	0.7373759
5	No-switch	CP4	8.768873	0	3	2	110.8312	152.2565	0.189147433	0.7373759
5	switch	CP4	9.7851595	1	3	2	110.8312	152.2565	0.189147433	0.7373759
5	No-switch	P3	10.0904335	0	4	0	110.8312	152.2565	0.189147433	0.7373759
5	switch	P3	10.014792	1	4	0	110.8312	152.2565	0.189147433	0.7373759
5	No-switch	PZ	11.181765	0	4	1	110.8312	152.2565	0.189147433	0.7373759
5	switch	PZ	11.728038	1	4	1	110.8312	152.2565	0.189147433	0.7373759
5	No-switch	P4	12.7788685	0	4	2	110.8312	152.2565	0.189147433	0.7373759
5	switch	P4	13.58488	1	4	2	110.8312	152.2565	0.189147433	0.7373759
6	No-switch	F3	-4.032583	0	0	0	58.16555	33.64045	0.02704164	0.1207557
6	switch	F3	-5.4502695	1	0	0	58.16555	33.64045	0.02704164	0.1207557
6	No-switch	FZ	-6.572671	0	0	1	58.16555	33.64045	0.02704164	0.1207557
6	switch	FZ	-7.633472	1	0	1	58.16555	33.64045	0.02704164	0.1207557
6	No-switch	F4	-5.3746995	0	0	2	58.16555	33.64045	0.02704164	0.1207557
6	switch	F4	-6.8814685	1	0	2	58.16555	33.64045	0.02704164	0.1207557
6	No-switch	FC3	-0.7375695	0	1	0	58.16555	33.64045	0.02704164	0.1207557
6	switch	FC3	-3.0020445	1	1	0	58.16555	33.64045	0.02704164	0.1207557
6	No-switch	FCZ	-4.7020015	0	1	1	58.16555	33.64045	0.02704164	0.1207557
6	switch	FCZ	-6.3254585	1	1	1	58.16555	33.64045	0.02704164	0.1207557
6	No-switch	FC4	-0.972488	0	1	2	58.16555	33.64045	0.02704164	0.1207557
6	switch	FC4	-2.3276155	1	1	2	58.16555	33.64045	0.02704164	0.1207557
6	No-switch	C3	4.784924	0	2	0	58.16555	33.64045	0.02704164	0.1207557
6	switch	C3	1.9690265	1	2	0	58.16555	33.64045	0.02704164	0.1207557
6	No-switch	CZ	1.526951	0	2	1	58.16555	33.64045	0.02704164	0.1207557
6	switch	CZ	-0.255172	1	2	1	58.16555	33.64045	0.02704164	0.1207557
6	No-switch	C4	3.053115	0	2	2	58.16555	33.64045	0.02704164	0.1207557
6	switch	C4	2.05129	1	2	2	58.16555	33.64045	0.02704164	0.1207557
6	No-switch	CP3	7.2123585	0	3	0	58.16555	33.64045	0.02704164	0.1207557
6	switch	CP3	4.886634	1	3	0	58.16555	33.64045	0.02704164	0.1207557
6	No-switch	CPZ	6.30755	0	3	1	58.16555	33.64045	0.02704164	0.1207557
6	switch	CPZ	4.507502	1	3	1	58.16555	33.64045	0.02704164	0.1207557
6	No-switch	CP4	6.02033	0	3	2	58.16555	33.64045	0.02704164	0.1207557
6	switch	CP4	5.842119	1	3	2	58.16555	33.64045	0.02704164	0.1207557
6	No-switch	P3	9.8569575	0	4	0	58.16555	33.64045	0.02704164	0.1207557
6	switch	P3	8.7883075	1	4	0	58.16555	33.64045	0.02704164	0.1207557
6	No-switch	PZ	10.0415225	0	4	1	58.16555	33.64045	0.02704164	0.1207557
6	switch	PZ	9.235663	1	4	1	58.16555	33.64045	0.02704164	0.1207557
6	No-switch	P4	9.1256975	0	4	2	58.16555	33.64045	0.02704164	0.1207557
6	switch	P4	9.985752	1	4	2	58.16555	33.64045	0.02704164	0.1207557
7	No-switch	F3	-4.671647	0	0	0	42.6176	169.9955	0.285930433	1.2286988
7	switch	F3	-3.6317235	1	0	0	42.6176	169.9955	0.285930433	1.2286988
7	No-switch	FZ	-6.4302105	0	0	1	42.6176	169.9955	0.285930433	1.2286988
7	switch	FZ	-4.226797	1	0	1	42.6176	169.9955	0.285930433	1.2286988
7	No-switch	F4	-5.8928145	0	0	2	42.6176	169.9955	0.285930433	1.2286988
7	switch	F4	-4.684344	1	0	2	42.6176	169.9955	0.285930433	1.2286988
7	No-switch	FC3	-1.92235	0	1	0	42.6176	169.9955	0.285930433	1.2286988
7	switch	FC3	-1.2175175	1	1	0	42.6176	169.9955	0.285930433	1.2286988
7	No-switch	FCZ	-5.3771855	0	1	1	42.6176	169.9955	0.285930433	1.2286988
7	switch	FCZ	-3.6030575	1	1	1	42.6176	169.9955	0.285930433	1.2286988
7	No-switch	FC4	-2.371393	0	1	2	42.6176	169.9955	0.285930433	1.2286988
7	switch	FC4	-1.562609	1	1	2	42.6176	169.9955	0.285930433	1.2286988
7	No-switch	C3	2.297105	0	2	0	42.6176	169.9955	0.285930433	1.2286988
7	switch	C3	2.291795	1	2	0	42.6176	169.9955	0.285930433	1.2286988
7	No-switch	CZ	-0.8979875	0	2	1	42.6176	169.9955	0.285930433	1.2286988
7	switch	CZ	-0.855574	1	2	1	42.6176	169.9955	0.285930433	1.2286988
7	No-switch	C4	0.3486395	0	2	2	42.6176	169.9955	0.285930433	1.2286988
7	switch	C4	1.1373265	1	2	2	42.6176	169.9955	0.285930433	1.2286988
7	No-switch	CP3	5.5645325	0	3	0	42.6176	169.9955	0.285930433	1.2286988
7	switch	CP3	5.0460105	1	3	0	42.6176	169.9955	0.285930433	1.2286988
7	No-switch	CPZ	3.023721	0	3	1	42.6176	169.9955	0.285930433	1.2286988
7	switch	CPZ	2.491629	1	3	1	42.6176	169.9955	0.285930433	1.2286988
7	No-switch	CP4	4.5990475	0	3	2	42.6176	169.9955	0.285930433	1.2286988
7	switch	CP4	4.764574	1	3	2	42.6176	169.9955	0.285930433	1.2286988
7	No-switch	P3	8.2624645	0	4	0	42.6176	169.9955	0.285930433	1.2286988
7	switch	P3	7.8285135	1	4	0	42.6176	169.9955	0.285930433	1.2286988
7	No-switch	PZ	7.7472465	0	4	1	42.6176	169.9955	0.285930433	1.2286988
7	switch	PZ	6.1386965	1	4	1	42.6176	169.9955	0.285930433	1.2286988
7	No-switch	P4	7.28453	0	4	2	42.6176	169.9955	0.285930433	1.2286988
7	switch	P4	7.4295725	1	4	2	42.6176	169.9955	0.285930433	1.2286988
8	No-switch	F3	-10.20409	0	0	0	72.6511	164.5831	0.22150265	0.8665065
8	switch	F3	-7.5519965	1	0	0	72.6511	164.5831	0.22150265	0.8665065
8	No-switch	FZ	-10.7456565	0	0	1	72.6511	164.5831	0.22150265	0.8665065
8	switch	FZ	-7.443004	1	0	1	72.6511	164.5831	0.22150265	0.8665065
8	No-switch	F4	-9.087914	0	0	2	72.6511	164.5831	0.22150265	0.8665065
8	switch	F4	-6.530309	1	0	2	72.6511	164.5831	0.22150265	0.8665065
8	No-switch	FC3	-9.666352	0	1	0	72.6511	164.5831	0.22150265	0.8665065
8	switch	FC3	-6.497255	1	1	0	72.6511	164.5831	0.22150265	0.8665065
8	No-switch	FCZ	-10.7663675	0	1	1	72.6511	164.5831	0.22150265	0.8665065
8	switch	FCZ	-7.4460315	1	1	1	72.6511	164.5831	0.22150265	0.8665065
8	No-switch	FC4	-6.684587	0	1	2	72.6511	164.5831	0.22150265	0.8665065
8	switch	FC4	-3.631804	1	1	2	72.6511	164.5831	0.22150265	0.8665065
8	No-switch	C3	-6.223463	0	2	0	72.6511	164.5831	0.22150265	0.8665065
8	switch	C3	-2.661008	1	2	0	72.6511	164.5831	0.22150265	0.8665065
8	No-switch	CZ	-3.6008895	0	2	1	72.6511	164.5831	0.22150265	0.8665065
8	switch	CZ	2.156605	1	2	1	72.6511	164.5831	0.22150265	0.8665065
8	No-switch	C4	-3.8994325	0	2	2	72.6511	164.5831	0.22150265	0.8665065
8	switch	C4	0.6031545	1	2	2	72.6511	164.5831	0.22150265	0.8665065
8	No-switch	CP3	-2.625625	0	3	0	72.6511	164.5831	0.22150265	0.8665065
8	switch	CP3	0.51824	1	3	0	72.6511	164.5831	0.22150265	0.8665065
8	No-switch	CPZ	-3.595522	0	3	1	72.6511	164.5831	0.22150265	0.8665065
8	switch	CPZ	2.126867	1	3	1	72.6511	164.5831	0.22150265	0.8665065
8	No-switch	CP4	0.3493085	0	3	2	72.6511	164.5831	0.22150265	0.8665065
8	switch	CP4	5.2076115	1	3	2	72.6511	164.5831	0.22150265	0.8665065
8	No-switch	P3	1.47046	0	4	0	72.6511	164.5831	0.22150265	0.8665065
8	switch	P3	5.6006985	1	4	0	72.6511	164.5831	0.22150265	0.8665065
8	No-switch	PZ	-3.5694605	0	4	1	72.6511	164.5831	0.22150265	0.8665065
8	switch	PZ	2.193327	1	4	1	72.6511	164.5831	0.22150265	0.8665065
8	No-switch	P4	3.4087195	0	4	2	72.6511	164.5831	0.22150265	0.8665065
8	switch	P4	8.33461	1	4	2	72.6511	164.5831	0.22150265	0.8665065
9	No-switch	F3	-0.3332875	0	0	0	181.27775	262.83935	0.127571016	0.7678545
9	switch	F3	2.827094	1	0	0	181.27775	262.83935	0.127571016	0.7678545
9	No-switch	FZ	-0.3494625	0	0	1	181.27775	262.83935	0.127571016	0.7678545
9	switch	FZ	2.6659665	1	0	1	181.27775	262.83935	0.127571016	0.7678545
9	No-switch	F4	-0.2846895	0	0	2	181.27775	262.83935	0.127571016	0.7678545
9	switch	F4	2.9114395	1	0	2	181.27775	262.83935	0.127571016	0.7678545
9	No-switch	FC3	0.4343845	0	1	0	181.27775	262.83935	0.127571016	0.7678545
9	switch	FC3	3.21493	1	1	0	181.27775	262.83935	0.127571016	0.7678545
9	No-switch	FCZ	0.185019	0	1	1	181.27775	262.83935	0.127571016	0.7678545
9	switch	FCZ	2.7121895	1	1	1	181.27775	262.83935	0.127571016	0.7678545
9	No-switch	FC4	0.5968715	0	1	2	181.27775	262.83935	0.127571016	0.7678545
9	switch	FC4	3.1811385	1	1	2	181.27775	262.83935	0.127571016	0.7678545
9	No-switch	C3	0.697892	0	2	0	181.27775	262.83935	0.127571016	0.7678545
9	switch	C3	2.8202685	1	2	0	181.27775	262.83935	0.127571016	0.7678545
9	No-switch	CZ	0.3435515	0	2	1	181.27775	262.83935	0.127571016	0.7678545
9	switch	CZ	2.3802195	1	2	1	181.27775	262.83935	0.127571016	0.7678545
