sub	cell	channel	voltage	switch	incongruency	coronal	sagittal	SC_RT	MC_RT	old_IAT	IAT_2003
5	congruent_stay	PZ	13.916448	0	0	4	1	110.8312	152.2565	0.189147433	0.7373759
5	congruent_stay	P4	15.277748	0	0	4	2	110.8312	152.2565	0.189147433	0.7373759
5	congruent_stay	CP4	10.604367	0	0	3	2	110.8312	152.2565	0.189147433	0.7373759
5	congruent_stay	C4	5.063167	0	0	2	2	110.8312	152.2565	0.189147433	0.7373759
5	congruent_stay	P3	12.399159	0	0	4	0	110.8312	152.2565	0.189147433	0.7373759
5	congruent_stay	CP3	8.035211	0	0	3	0	110.8312	152.2565	0.189147433	0.7373759
5	congruent_stay	CPZ	13.837655	0	0	3	1	110.8312	152.2565	0.189147433	0.7373759
5	congruent_stay	CZ	7.97002	0	0	2	1	110.8312	152.2565	0.189147433	0.7373759
5	congruent_stay	FC4	1.604023	0	0	1	2	110.8312	152.2565	0.189147433	0.7373759
5	congruent_stay	C3	3.712379	0	0	2	0	110.8312	152.2565	0.189147433	0.7373759
5	congruent_stay	FCZ	-1.78435	0	0	1	1	110.8312	152.2565	0.189147433	0.7373759
5	congruent_stay	FZ	-2.607612	0	0	0	1	110.8312	152.2565	0.189147433	0.7373759
5	congruent_stay	F4	-1.546941	0	0	0	2	110.8312	152.2565	0.189147433	0.7373759
5	congruent_stay	FC3	-1.215291	0	0	1	0	110.8312	152.2565	0.189147433	0.7373759
5	congruent_stay	F3	-3.131116	0	0	0	0	110.8312	152.2565	0.189147433	0.7373759
5	congruent_switch	PZ	14.704048	1	0	4	1	110.8312	152.2565	0.189147433	0.7373759
5	congruent_switch	P4	15.873188	1	0	4	2	110.8312	152.2565	0.189147433	0.7373759
5	congruent_switch	CP4	12.050741	1	0	3	2	110.8312	152.2565	0.189147433	0.7373759
5	congruent_switch	C4	7.46968	1	0	2	2	110.8312	152.2565	0.189147433	0.7373759
5	congruent_switch	P3	12.799877	1	0	4	0	110.8312	152.2565	0.189147433	0.7373759
5	congruent_switch	CP3	9.520988	1	0	3	0	110.8312	152.2565	0.189147433	0.7373759
5	congruent_switch	CPZ	14.566534	1	0	3	1	110.8312	152.2565	0.189147433	0.7373759
5	congruent_switch	CZ	9.461457	1	0	2	1	110.8312	152.2565	0.189147433	0.7373759
5	congruent_switch	FC4	3.823132	1	0	1	2	110.8312	152.2565	0.189147433	0.7373759
5	congruent_switch	C3	5.569852	1	0	2	0	110.8312	152.2565	0.189147433	0.7373759
5	congruent_switch	FCZ	3.033877	1	0	1	1	110.8312	152.2565	0.189147433	0.7373759
5	congruent_switch	FZ	-1.038016	1	0	0	1	110.8312	152.2565	0.189147433	0.7373759
5	congruent_switch	F4	0.434635	1	0	0	2	110.8312	152.2565	0.189147433	0.7373759
5	congruent_switch	FC3	0.327296	1	0	1	0	110.8312	152.2565	0.189147433	0.7373759
5	congruent_switch	F3	-2.091147	1	0	0	0	110.8312	152.2565	0.189147433	0.7373759
5	incongruent_stay	PZ	8.447082	0	1	4	1	110.8312	152.2565	0.189147433	0.7373759
5	incongruent_stay	P4	10.279989	0	1	4	2	110.8312	152.2565	0.189147433	0.7373759
5	incongruent_stay	CP4	6.933379	0	1	3	2	110.8312	152.2565	0.189147433	0.7373759
5	incongruent_stay	C4	3.644679	0	1	2	2	110.8312	152.2565	0.189147433	0.7373759
5	incongruent_stay	P3	7.781708	0	1	4	0	110.8312	152.2565	0.189147433	0.7373759
5	incongruent_stay	CP3	5.332956	0	1	3	0	110.8312	152.2565	0.189147433	0.7373759
5	incongruent_stay	CPZ	8.325861	0	1	3	1	110.8312	152.2565	0.189147433	0.7373759
5	incongruent_stay	CZ	4.467336	0	1	2	1	110.8312	152.2565	0.189147433	0.7373759
5	incongruent_stay	FC4	2.302791	0	1	1	2	110.8312	152.2565	0.189147433	0.7373759
5	incongruent_stay	C3	2.945143	0	1	2	0	110.8312	152.2565	0.189147433	0.7373759
5	incongruent_stay	FCZ	4.116826	0	1	1	1	110.8312	152.2565	0.189147433	0.7373759
5	incongruent_stay	FZ	1.170824	0	1	0	1	110.8312	152.2565	0.189147433	0.7373759
5	incongruent_stay	F4	1.773187	0	1	0	2	110.8312	152.2565	0.189147433	0.7373759
5	incongruent_stay	FC3	1.128783	0	1	1	0	110.8312	152.2565	0.189147433	0.7373759
5	incongruent_stay	F3	0.677123	0	1	0	0	110.8312	152.2565	0.189147433	0.7373759
5	incongruent_switch	PZ	8.752028	1	1	4	1	110.8312	152.2565	0.189147433	0.7373759
5	incongruent_switch	P4	11.296572	1	1	4	2	110.8312	152.2565	0.189147433	0.7373759
5	incongruent_switch	CP4	7.519578	1	1	3	2	110.8312	152.2565	0.189147433	0.7373759
5	incongruent_switch	C4	3.808549	1	1	2	2	110.8312	152.2565	0.189147433	0.7373759
5	incongruent_switch	P3	7.229707	1	1	4	0	110.8312	152.2565	0.189147433	0.7373759
5	incongruent_switch	CP3	4.907823	1	1	3	0	110.8312	152.2565	0.189147433	0.7373759
5	incongruent_switch	CPZ	8.691035	1	1	3	1	110.8312	152.2565	0.189147433	0.7373759
5	incongruent_switch	CZ	4.916842	1	1	2	1	110.8312	152.2565	0.189147433	0.7373759
5	incongruent_switch	FC4	2.080608	1	1	1	2	110.8312	152.2565	0.189147433	0.7373759
5	incongruent_switch	C3	2.903512	1	1	2	0	110.8312	152.2565	0.189147433	0.7373759
5	incongruent_switch	FCZ	-0.08151	1	1	1	1	110.8312	152.2565	0.189147433	0.7373759
5	incongruent_switch	FZ	-0.563525	1	1	0	1	110.8312	152.2565	0.189147433	0.7373759
5	incongruent_switch	F4	1.286942	1	1	0	2	110.8312	152.2565	0.189147433	0.7373759
5	incongruent_switch	FC3	0.243641	1	1	1	0	110.8312	152.2565	0.189147433	0.7373759
5	incongruent_switch	F3	-0.870672	1	1	0	0	110.8312	152.2565	0.189147433	0.7373759
6	congruent_stay	PZ	12.955297	0	0	4	1	58.16555	33.64045	0.02704164	0.1207557
6	congruent_stay	P4	11.022863	0	0	4	2	58.16555	33.64045	0.02704164	0.1207557
6	congruent_stay	CP4	8.196335	0	0	3	2	58.16555	33.64045	0.02704164	0.1207557
6	congruent_stay	C4	4.873161	0	0	2	2	58.16555	33.64045	0.02704164	0.1207557
6	congruent_stay	P3	12.241511	0	0	4	0	58.16555	33.64045	0.02704164	0.1207557
6	congruent_stay	CP3	9.600787	0	0	3	0	58.16555	33.64045	0.02704164	0.1207557
6	congruent_stay	CPZ	9.595507	0	0	3	1	58.16555	33.64045	0.02704164	0.1207557
6	congruent_stay	CZ	4.029385	0	0	2	1	58.16555	33.64045	0.02704164	0.1207557
6	congruent_stay	FC4	-0.625843	0	0	1	2	58.16555	33.64045	0.02704164	0.1207557
6	congruent_stay	C3	6.35076	0	0	2	0	58.16555	33.64045	0.02704164	0.1207557
6	congruent_stay	FCZ	-4.662749	0	0	1	1	58.16555	33.64045	0.02704164	0.1207557
6	congruent_stay	FZ	-8.471328	0	0	0	1	58.16555	33.64045	0.02704164	0.1207557
6	congruent_stay	F4	-6.864502	0	0	0	2	58.16555	33.64045	0.02704164	0.1207557
6	congruent_stay	FC3	-1.604027	0	0	1	0	58.16555	33.64045	0.02704164	0.1207557
6	congruent_stay	F3	-6.261572	0	0	0	0	58.16555	33.64045	0.02704164	0.1207557
6	congruent_switch	PZ	9.735788	1	0	4	1	58.16555	33.64045	0.02704164	0.1207557
6	congruent_switch	P4	10.077548	1	0	4	2	58.16555	33.64045	0.02704164	0.1207557
6	congruent_switch	CP4	5.648384	1	0	3	2	58.16555	33.64045	0.02704164	0.1207557
6	congruent_switch	C4	2.061017	1	0	2	2	58.16555	33.64045	0.02704164	0.1207557
6	congruent_switch	P3	9.028321	1	0	4	0	58.16555	33.64045	0.02704164	0.1207557
6	congruent_switch	CP3	5.49153	1	0	3	0	58.16555	33.64045	0.02704164	0.1207557
6	congruent_switch	CPZ	5.207718	1	0	3	1	58.16555	33.64045	0.02704164	0.1207557
6	congruent_switch	CZ	0.140669	1	0	2	1	58.16555	33.64045	0.02704164	0.1207557
6	congruent_switch	FC4	-3.014269	1	0	1	2	58.16555	33.64045	0.02704164	0.1207557
6	congruent_switch	C3	1.987861	1	0	2	0	58.16555	33.64045	0.02704164	0.1207557
6	congruent_switch	FCZ	-7.330356	1	0	1	1	58.16555	33.64045	0.02704164	0.1207557
6	congruent_switch	FZ	-8.754351	1	0	0	1	58.16555	33.64045	0.02704164	0.1207557
6	congruent_switch	F4	-7.921101	1	0	0	2	58.16555	33.64045	0.02704164	0.1207557
6	congruent_switch	FC3	-3.955731	1	0	1	0	58.16555	33.64045	0.02704164	0.1207557
6	congruent_switch	F3	-6.791726	1	0	0	0	58.16555	33.64045	0.02704164	0.1207557
6	incongruent_stay	PZ	7.127748	0	1	4	1	58.16555	33.64045	0.02704164	0.1207557
6	incongruent_stay	P4	7.228532	0	1	4	2	58.16555	33.64045	0.02704164	0.1207557
6	incongruent_stay	CP4	3.844325	0	1	3	2	58.16555	33.64045	0.02704164	0.1207557
6	incongruent_stay	C4	1.233069	0	1	2	2	58.16555	33.64045	0.02704164	0.1207557
6	incongruent_stay	P3	7.472404	0	1	4	0	58.16555	33.64045	0.02704164	0.1207557
6	incongruent_stay	CP3	4.82393	0	1	3	0	58.16555	33.64045	0.02704164	0.1207557
6	incongruent_stay	CPZ	3.019593	0	1	3	1	58.16555	33.64045	0.02704164	0.1207557
6	incongruent_stay	CZ	-0.975483	0	1	2	1	58.16555	33.64045	0.02704164	0.1207557
6	incongruent_stay	FC4	-1.319133	0	1	1	2	58.16555	33.64045	0.02704164	0.1207557
6	incongruent_stay	C3	3.219088	0	1	2	0	58.16555	33.64045	0.02704164	0.1207557
6	incongruent_stay	FCZ	-4.741254	0	1	1	1	58.16555	33.64045	0.02704164	0.1207557
6	incongruent_stay	FZ	-4.674014	0	1	0	1	58.16555	33.64045	0.02704164	0.1207557
6	incongruent_stay	F4	-3.884897	0	1	0	2	58.16555	33.64045	0.02704164	0.1207557
6	incongruent_stay	FC3	0.128888	0	1	1	0	58.16555	33.64045	0.02704164	0.1207557
6	incongruent_stay	F3	-1.803594	0	1	0	0	58.16555	33.64045	0.02704164	0.1207557
6	incongruent_switch	PZ	8.735538	1	1	4	1	58.16555	33.64045	0.02704164	0.1207557
6	incongruent_switch	P4	9.893956	1	1	4	2	58.16555	33.64045	0.02704164	0.1207557
6	incongruent_switch	CP4	6.035854	1	1	3	2	58.16555	33.64045	0.02704164	0.1207557
6	incongruent_switch	C4	2.041563	1	1	2	2	58.16555	33.64045	0.02704164	0.1207557
6	incongruent_switch	P3	8.548294	1	1	4	0	58.16555	33.64045	0.02704164	0.1207557
6	incongruent_switch	CP3	4.281738	1	1	3	0	58.16555	33.64045	0.02704164	0.1207557
6	incongruent_switch	CPZ	3.807286	1	1	3	1	58.16555	33.64045	0.02704164	0.1207557
6	incongruent_switch	CZ	-0.651013	1	1	2	1	58.16555	33.64045	0.02704164	0.1207557
6	incongruent_switch	FC4	-1.640962	1	1	1	2	58.16555	33.64045	0.02704164	0.1207557
6	incongruent_switch	C3	1.950192	1	1	2	0	58.16555	33.64045	0.02704164	0.1207557
6	incongruent_switch	FCZ	-5.320561	1	1	1	1	58.16555	33.64045	0.02704164	0.1207557
6	incongruent_switch	FZ	-6.512593	1	1	0	1	58.16555	33.64045	0.02704164	0.1207557
6	incongruent_switch	F4	-5.841836	1	1	0	2	58.16555	33.64045	0.02704164	0.1207557
6	incongruent_switch	FC3	-2.048358	1	1	1	0	58.16555	33.64045	0.02704164	0.1207557
6	incongruent_switch	F3	-4.108813	1	1	0	0	58.16555	33.64045	0.02704164	0.1207557
7	congruent_stay	PZ	9.581378	0	0	4	1	42.6176	169.9955	0.285930433	1.2286988
7	congruent_stay	P4	10.119043	0	0	4	2	42.6176	169.9955	0.285930433	1.2286988
7	congruent_stay	CP4	7.5708	0	0	3	2	42.6176	169.9955	0.285930433	1.2286988
7	congruent_stay	C4	2.717509	0	0	2	2	42.6176	169.9955	0.285930433	1.2286988
7	congruent_stay	P3	9.731462	0	0	4	0	42.6176	169.9955	0.285930433	1.2286988
7	congruent_stay	CP3	7.637696	0	0	3	0	42.6176	169.9955	0.285930433	1.2286988
7	congruent_stay	CPZ	5.472782	0	0	3	1	42.6176	169.9955	0.285930433	1.2286988
7	congruent_stay	CZ	1.804137	0	0	2	1	42.6176	169.9955	0.285930433	1.2286988
7	congruent_stay	FC4	-0.610191	0	0	1	2	42.6176	169.9955	0.285930433	1.2286988
7	congruent_stay	C3	4.243765	0	0	2	0	42.6176	169.9955	0.285930433	1.2286988
7	congruent_stay	FCZ	-3.862645	0	0	1	1	42.6176	169.9955	0.285930433	1.2286988
7	congruent_stay	FZ	-4.907612	0	0	0	1	42.6176	169.9955	0.285930433	1.2286988
7	congruent_stay	F4	-4.598923	0	0	0	2	42.6176	169.9955	0.285930433	1.2286988
7	congruent_stay	FC3	-0.553793	0	0	1	0	42.6176	169.9955	0.285930433	1.2286988
7	congruent_stay	F3	-3.553742	0	0	0	0	42.6176	169.9955	0.285930433	1.2286988
7	congruent_switch	PZ	6.814716	1	0	4	1	42.6176	169.9955	0.285930433	1.2286988
7	congruent_switch	P4	8.841207	1	0	4	2	42.6176	169.9955	0.285930433	1.2286988
7	congruent_switch	CP4	6.653568	1	0	3	2	42.6176	169.9955	0.285930433	1.2286988
