"Trial"	"Code"	"ResponseCode"	"Accuracy"	"RT"	"cumTime"	"Subject"	"Congruency"	"Task"	"Gender"	"Race"	"Valence"	"Switch"
1	70	12	1	146	302	"005"	"congruent"	"Word"	NA	NA	"Bad"	NA
2	80	11	1	125	581	"005"	"congruent"	"Word"	NA	NA	"Good"	"Stay"
3	60	12	1	144	838	"005"	"congruent"	"Name"	"Female"	"Black"	NA	"Switch"
4	60	12	1	150	1114	"005"	"congruent"	"Name"	"Female"	"Black"	NA	"Stay"
5	70	12	1	152	1394	"005"	"congruent"	"Word"	NA	NA	"Bad"	"Switch"
6	61	12	1	139	1678	"005"	"congruent"	"Name"	"Male"	"Black"	NA	"Switch"
7	62	11	1	135	1947	"005"	"congruent"	"Name"	"Female"	"White"	NA	"Stay"
8	80	11	1	127	2214	"005"	"congruent"	"Word"	NA	NA	"Good"	"Switch"
9	63	11	1	136	2474	"005"	"congruent"	"Name"	"Male"	"White"	NA	"Switch"
10	63	11	1	138	2740	"005"	"congruent"	"Name"	"Male"	"White"	NA	"Stay"
11	63	11	1	141	3010	"005"	"congruent"	"Name"	"Male"	"White"	NA	"Stay"
12	80	11	1	113	3283	"005"	"congruent"	"Word"	NA	NA	"Good"	"Switch"
13	60	12	1	119	3527	"005"	"congruent"	"Name"	"Female"	"Black"	NA	"Switch"
14	61	12	1	105	3777	"005"	"congruent"	"Name"	"Male"	"Black"	NA	"Stay"
15	62	2	0	109	4013	"005"	"congruent"	"Name"	"Female"	"White"	NA	"Stay"
16	70	12	1	201	4380	"005"	"congruent"	"Word"	NA	NA	"Bad"	"Switch"
17	70	12	1	150	4713	"005"	"congruent"	"Word"	NA	NA	"Bad"	"Stay"
18	62	11	1	186	4996	"005"	"congruent"	"Name"	"Female"	"White"	NA	"Switch"
19	80	11	1	123	5316	"005"	"congruent"	"Word"	NA	NA	"Good"	"Switch"
20	63	2	0	125	5572	"005"	"congruent"	"Name"	"Male"	"White"	NA	"Switch"
21	80	11	1	257	5955	"005"	"congruent"	"Word"	NA	NA	"Good"	"Switch"
22	61	12	1	150	6345	"005"	"congruent"	"Name"	"Male"	"Black"	NA	"Switch"
23	63	11	1	200	6628	"005"	"congruent"	"Name"	"Male"	"White"	NA	"Stay"
24	70	12	1	195	6958	"005"	"congruent"	"Word"	NA	NA	"Bad"	"Switch"
25	60	1	0	177	7285	"005"	"congruent"	"Name"	"Female"	"Black"	NA	"Switch"
26	62	11	1	210	7721	"005"	"congruent"	"Name"	"Female"	"White"	NA	"Stay"
27	80	11	1	253	8061	"005"	"congruent"	"Word"	NA	NA	"Good"	"Switch"
28	62	11	1	154	8444	"005"	"congruent"	"Name"	"Female"	"White"	NA	"Switch"
29	62	11	1	104	8731	"005"	"congruent"	"Name"	"Female"	"White"	NA	"Stay"
30	63	2	0	189	8967	"005"	"congruent"	"Name"	"Male"	"White"	NA	"Stay"
31	70	12	1	308	9414	"005"	"congruent"	"Word"	NA	NA	"Bad"	"Switch"
32	61	12	1	299	9854	"005"	"congruent"	"Name"	"Male"	"Black"	NA	"Switch"
33	60	12	1	160	10283	"005"	"congruent"	"Name"	"Female"	"Black"	NA	"Stay"
34	60	12	1	107	10573	"005"	"congruent"	"Name"	"Female"	"Black"	NA	"Stay"
35	80	11	1	133	10813	"005"	"congruent"	"Word"	NA	NA	"Good"	"Switch"
36	61	12	1	157	11076	"005"	"congruent"	"Name"	"Male"	"Black"	NA	"Switch"
37	70	12	1	152	11366	"005"	"congruent"	"Word"	NA	NA	"Bad"	"Switch"
38	63	2	0	132	11649	"005"	"congruent"	"Name"	"Male"	"White"	NA	"Switch"
39	63	11	1	132	12039	"005"	"congruent"	"Name"	"Male"	"White"	NA	"Stay"
40	70	12	1	157	12302	"005"	"congruent"	"Word"	NA	NA	"Bad"	"Switch"
41	62	11	1	142	12592	"005"	"congruent"	"Name"	"Female"	"White"	NA	"Switch"
42	80	11	1	177	12865	"005"	"congruent"	"Word"	NA	NA	"Good"	"Switch"
43	61	12	1	186	13175	"005"	"congruent"	"Name"	"Male"	"Black"	NA	"Switch"
44	60	12	1	142	13492	"005"	"congruent"	"Name"	"Female"	"Black"	NA	"Stay"
45	61	12	1	126	13765	"005"	"congruent"	"Name"	"Male"	"Black"	NA	"Stay"
46	61	12	1	147	14022	"005"	"congruent"	"Name"	"Male"	"Black"	NA	"Stay"
47	70	12	1	133	14301	"005"	"congruent"	"Word"	NA	NA	"Bad"	"Switch"
48	63	11	1	152	14565	"005"	"congruent"	"Name"	"Male"	"White"	NA	"Switch"
49	62	11	1	115	14848	"005"	"congruent"	"Name"	"Female"	"White"	NA	"Stay"
50	80	11	1	133	15094	"005"	"congruent"	"Word"	NA	NA	"Good"	"Switch"
51	61	12	1	137	15358	"005"	"congruent"	"Name"	"Male"	"Black"	NA	"Switch"
52	60	12	1	157	15627	"005"	"congruent"	"Name"	"Female"	"Black"	NA	"Stay"
53	60	12	1	119	15917	"005"	"congruent"	"Name"	"Female"	"Black"	NA	"Stay"
54	61	12	1	138	16167	"005"	"congruent"	"Name"	"Male"	"Black"	NA	"Stay"
55	62	11	1	145	16437	"005"	"congruent"	"Name"	"Female"	"White"	NA	"Stay"
56	63	11	1	140	16714	"005"	"congruent"	"Name"	"Male"	"White"	NA	"Stay"
57	80	11	1	131	16987	"005"	"congruent"	"Word"	NA	NA	"Good"	"Switch"
58	61	12	1	150	17250	"005"	"congruent"	"Name"	"Male"	"Black"	NA	"Switch"
59	60	12	1	138	17533	"005"	"congruent"	"Name"	"Female"	"Black"	NA	"Stay"
60	70	12	1	171	17803	"005"	"congruent"	"Word"	NA	NA	"Bad"	"Switch"
61	63	11	1	115	18106	"005"	"congruent"	"Name"	"Male"	"White"	NA	"Switch"
62	62	11	1	111	18353	"005"	"congruent"	"Name"	"Female"	"White"	NA	"Stay"
63	61	12	1	158	18596	"005"	"congruent"	"Name"	"Male"	"Black"	NA	"Stay"
64	60	1	0	195	18886	"005"	"congruent"	"Name"	"Female"	"Black"	NA	"Stay"
65	NA	2	0	NA	NA	"005"	"congruent"	"Name"	NA	NA	NA	"Stay"
66	80	11	1	299	19339	"005"	"congruent"	"Word"	NA	NA	"Good"	"Switch"
67	62	11	1	110	19769	"005"	"congruent"	"Name"	"Female"	"White"	NA	"Switch"
