"Subject"	"Code"	"Congruency"	"Task"	"Gender"	"Race"	"Valence"	"Switch"	"ResponseCode"	"Accuracy"	"RT"	"cumTime"	"logRT"
"5"	60	"congruent"	"Name"	"Female"	"Black"	NA	"Stay"	11.0833333333333	0.916666666666667	139.583333333333	17174.3333333333	4.92657239232127
"5"	60	"congruent"	"Name"	"Female"	"Black"	NA	"Switch"	7.875	0.625	144	19847.125	4.96414309745827
"5"	60	"incongruent"	"Name"	"Female"	"Black"	NA	"Stay"	12	1	173.75	20090.75	5.08601765473857
"5"	60	"incongruent"	"Name"	"Female"	"Black"	NA	"Switch"	7.875	0.625	192.875	23283	5.17826134743396
"5"	61	"congruent"	"Name"	"Male"	"Black"	NA	"Stay"	12	1	152.1	21509.3	5.00384435606323
"5"	61	"congruent"	"Name"	"Male"	"Black"	NA	"Switch"	12	1	163.111111111111	14546.1111111111	5.05694247954624
"5"	61	"incongruent"	"Name"	"Male"	"Black"	NA	"Stay"	9.8	0.8	141.3	25277.5	4.89979213167492
"5"	61	"incongruent"	"Name"	"Male"	"Black"	NA	"Switch"	10.7777777777778	0.888888888888889	214.666666666667	17268.4444444444	5.30366778951133
"5"	62	"congruent"	"Name"	"Female"	"White"	NA	"Stay"	10.1818181818182	0.909090909090909	124.727272727273	16418.6363636364	4.80430374997226
"5"	62	"congruent"	"Name"	"Female"	"White"	NA	"Switch"	11	1	153.625	21200.125	5.01415479864325
"5"	62	"incongruent"	"Name"	"Female"	"White"	NA	"Stay"	9.36363636363636	0.818181818181818	154.272727272727	19548.4545454545	4.98904344094348
"5"	62	"incongruent"	"Name"	"Female"	"White"	NA	"Switch"	11	1	221.5	25036.25	5.30136935651567
"5"	63	"congruent"	"Name"	"Male"	"White"	NA	"Stay"	9.69230769230769	0.846153846153846	175.615384615385	17093.8461538462	5.12289638264543
"5"	63	"congruent"	"Name"	"Male"	"White"	NA	"Switch"	7.5	0.6	157.6	19763.5	5.03588006543426
"5"	63	"incongruent"	"Name"	"Male"	"White"	NA	"Stay"	10.3846153846154	0.923076923076923	198.923076923077	20020.2307692308	5.20036917822712
"5"	63	"incongruent"	"Name"	"Male"	"White"	NA	"Switch"	9.1	0.8	217.3	23317.2	5.32798053723333
"5"	70	"congruent"	"Word"	NA	NA	"Bad"	"Stay"	12	1	163.5	22472	5.09291390426028
"5"	70	"congruent"	"Word"	NA	NA	"Bad"	"Switch"	10.5333333333333	0.866666666666667	179	18222.5333333333	5.15139877506201
"5"	70	"congruent"	"Word"	NA	NA	"Bad"	NA	12	1	146	302	4.98360662170834
"5"	70	"incongruent"	"Word"	NA	NA	"Bad"	"Stay"	6.5	0.5	187.75	26153.5	5.19727817623746
