sub	cell	channel	early_mean	late_mean	switch	incongruency	coronal	sagittal	SC_RT	CE_RT	old_IAT	IAT_2003
5	congruent_stay	PZ	13.916448	9.142503	0	0	4	1	110.8312	152.2565	0.181220301	0.7373759
5	congruent_stay	P4	15.277748	8.431302	0	0	4	2	110.8312	152.2565	0.181220301	0.7373759
5	congruent_stay	CP4	10.604367	7.62473	0	0	3	2	110.8312	152.2565	0.181220301	0.7373759
5	congruent_stay	C4	5.063167	5.527836	0	0	2	2	110.8312	152.2565	0.181220301	0.7373759
5	congruent_stay	P3	12.399159	7.132564	0	0	4	0	110.8312	152.2565	0.181220301	0.7373759
5	congruent_stay	CP3	8.035211	6.33648	0	0	3	0	110.8312	152.2565	0.181220301	0.7373759
5	congruent_stay	CPZ	13.837655	9.155575	0	0	3	1	110.8312	152.2565	0.181220301	0.7373759
5	congruent_stay	CZ	7.97002	7.601174	0	0	2	1	110.8312	152.2565	0.181220301	0.7373759
5	congruent_stay	FC4	1.604023	2.605285	0	0	1	2	110.8312	152.2565	0.181220301	0.7373759
5	congruent_stay	C3	3.712379	4.414033	0	0	2	0	110.8312	152.2565	0.181220301	0.7373759
5	congruent_stay	FCZ	-1.78435	-2.171798	0	0	1	1	110.8312	152.2565	0.181220301	0.7373759
5	congruent_stay	FZ	-2.607612	-3.053726	0	0	0	1	110.8312	152.2565	0.181220301	0.7373759
5	congruent_stay	F4	-1.546941	-2.199085	0	0	0	2	110.8312	152.2565	0.181220301	0.7373759
5	congruent_stay	FC3	-1.215291	-0.636662	0	0	1	0	110.8312	152.2565	0.181220301	0.7373759
5	congruent_stay	F3	-3.131116	-3.685648	0	0	0	0	110.8312	152.2565	0.181220301	0.7373759
5	congruent_switch	PZ	14.704048	13.331478	1	0	4	1	110.8312	152.2565	0.181220301	0.7373759
5	congruent_switch	P4	15.873188	10.549493	1	0	4	2	110.8312	152.2565	0.181220301	0.7373759
5	congruent_switch	CP4	12.050741	10.773965	1	0	3	2	110.8312	152.2565	0.181220301	0.7373759
5	congruent_switch	C4	7.46968	8.752572	1	0	2	2	110.8312	152.2565	0.181220301	0.7373759
5	congruent_switch	P3	12.799877	10.772954	1	0	4	0	110.8312	152.2565	0.181220301	0.7373759
5	congruent_switch	CP3	9.520988	11.010433	1	0	3	0	110.8312	152.2565	0.181220301	0.7373759
5	congruent_switch	CPZ	14.566534	13.293056	1	0	3	1	110.8312	152.2565	0.181220301	0.7373759
5	congruent_switch	CZ	9.461457	11.974338	1	0	2	1	110.8312	152.2565	0.181220301	0.7373759
5	congruent_switch	FC4	3.823132	5.124245	1	0	1	2	110.8312	152.2565	0.181220301	0.7373759
5	congruent_switch	C3	5.569852	9.273919	1	0	2	0	110.8312	152.2565	0.181220301	0.7373759
5	congruent_switch	FCZ	3.033877	4.699571	1	0	1	1	110.8312	152.2565	0.181220301	0.7373759
5	congruent_switch	FZ	-1.038016	-0.295389	1	0	0	1	110.8312	152.2565	0.181220301	0.7373759
5	congruent_switch	F4	0.434635	-0.631041	1	0	0	2	110.8312	152.2565	0.181220301	0.7373759
5	congruent_switch	FC3	0.327296	3.833184	1	0	1	0	110.8312	152.2565	0.181220301	0.7373759
5	congruent_switch	F3	-2.091147	-0.381529	1	0	0	0	110.8312	152.2565	0.181220301	0.7373759
5	incongruent_stay	PZ	8.447082	5.576389	0	1	4	1	110.8312	152.2565	0.181220301	0.7373759
5	incongruent_stay	P4	10.279989	5.309966	0	1	4	2	110.8312	152.2565	0.181220301	0.7373759
5	incongruent_stay	CP4	6.933379	5.190926	0	1	3	2	110.8312	152.2565	0.181220301	0.7373759
5	incongruent_stay	C4	3.644679	3.988608	0	1	2	2	110.8312	152.2565	0.181220301	0.7373759
5	incongruent_stay	P3	7.781708	3.607054	0	1	4	0	110.8312	152.2565	0.181220301	0.7373759
5	incongruent_stay	CP3	5.332956	3.511718	0	1	3	0	110.8312	152.2565	0.181220301	0.7373759
5	incongruent_stay	CPZ	8.325861	5.566594	0	1	3	1	110.8312	152.2565	0.181220301	0.7373759
5	incongruent_stay	CZ	4.467336	4.937772	0	1	2	1	110.8312	152.2565	0.181220301	0.7373759
5	incongruent_stay	FC4	2.302791	2.623062	0	1	1	2	110.8312	152.2565	0.181220301	0.7373759
5	incongruent_stay	C3	2.945143	3.029303	0	1	2	0	110.8312	152.2565	0.181220301	0.7373759
5	incongruent_stay	FCZ	4.116826	5.089863	0	1	1	1	110.8312	152.2565	0.181220301	0.7373759
5	incongruent_stay	FZ	1.170824	-0.018571	0	1	0	1	110.8312	152.2565	0.181220301	0.7373759
5	incongruent_stay	F4	1.773187	0.647254	0	1	0	2	110.8312	152.2565	0.181220301	0.7373759
5	incongruent_stay	FC3	1.128783	0.742599	0	1	1	0	110.8312	152.2565	0.181220301	0.7373759
5	incongruent_stay	F3	0.677123	-1.11153	0	1	0	0	110.8312	152.2565	0.181220301	0.7373759
5	incongruent_switch	PZ	8.752028	6.482865	1	1	4	1	110.8312	152.2565	0.181220301	0.7373759
5	incongruent_switch	P4	11.296572	5.982517	1	1	4	2	110.8312	152.2565	0.181220301	0.7373759
5	incongruent_switch	CP4	7.519578	4.32635	1	1	3	2	110.8312	152.2565	0.181220301	0.7373759
5	incongruent_switch	C4	3.808549	2.092103	1	1	2	2	110.8312	152.2565	0.181220301	0.7373759
5	incongruent_switch	P3	7.229707	3.283185	1	1	4	0	110.8312	152.2565	0.181220301	0.7373759
5	incongruent_switch	CP3	4.907823	2.769141	1	1	3	0	110.8312	152.2565	0.181220301	0.7373759
5	incongruent_switch	CPZ	8.691035	6.49499	1	1	3	1	110.8312	152.2565	0.181220301	0.7373759
5	incongruent_switch	CZ	4.916842	5.085992	1	1	2	1	110.8312	152.2565	0.181220301	0.7373759
5	incongruent_switch	FC4	2.080608	0.093815	1	1	1	2	110.8312	152.2565	0.181220301	0.7373759
5	incongruent_switch	C3	2.903512	1.634375	1	1	2	0	110.8312	152.2565	0.181220301	0.7373759
5	incongruent_switch	FCZ	-0.08151	-1.833422	1	1	1	1	110.8312	152.2565	0.181220301	0.7373759
5	incongruent_switch	FZ	-0.563525	-4.016944	1	1	0	1	110.8312	152.2565	0.181220301	0.7373759
5	incongruent_switch	F4	1.286942	-2.395027	1	1	0	2	110.8312	152.2565	0.181220301	0.7373759
5	incongruent_switch	FC3	0.243641	-1.710566	1	1	1	0	110.8312	152.2565	0.181220301	0.7373759
5	incongruent_switch	F3	-0.870672	-4.011531	1	1	0	0	110.8312	152.2565	0.181220301	0.7373759
6	congruent_stay	PZ	12.955297	12.438077	0	0	4	1	58.16555	33.64045	0.118960769	0.1207557
6	congruent_stay	P4	11.022863	9.130071	0	0	4	2	58.16555	33.64045	0.118960769	0.1207557
6	congruent_stay	CP4	8.196335	9.19254	0	0	3	2	58.16555	33.64045	0.118960769	0.1207557
6	congruent_stay	C4	4.873161	8.308482	0	0	2	2	58.16555	33.64045	0.118960769	0.1207557
6	congruent_stay	P3	12.241511	11.448602	0	0	4	0	58.16555	33.64045	0.118960769	0.1207557
6	congruent_stay	CP3	9.600787	11.177736	0	0	3	0	58.16555	33.64045	0.118960769	0.1207557
6	congruent_stay	CPZ	9.595507	12.340043	0	0	3	1	58.16555	33.64045	0.118960769	0.1207557
6	congruent_stay	CZ	4.029385	8.308382	0	0	2	1	58.16555	33.64045	0.118960769	0.1207557
6	congruent_stay	FC4	-0.625843	4.355582	0	0	1	2	58.16555	33.64045	0.118960769	0.1207557
6	congruent_stay	C3	6.35076	9.552097	0	0	2	0	58.16555	33.64045	0.118960769	0.1207557
6	congruent_stay	FCZ	-4.662749	0.500865	0	0	1	1	58.16555	33.64045	0.118960769	0.1207557
6	congruent_stay	FZ	-8.471328	-4.032427	0	0	0	1	58.16555	33.64045	0.118960769	0.1207557
6	congruent_stay	F4	-6.864502	-1.617604	0	0	0	2	58.16555	33.64045	0.118960769	0.1207557
6	congruent_stay	FC3	-1.604027	1.885131	0	0	1	0	58.16555	33.64045	0.118960769	0.1207557
